ID,PlayerName,GamesPlayed,GamesStarted,TotalSteals,StealsPerGame
1,D. Fox,74,74,150,2.03
2,S. Gilgeous-Alexander,75,75,150,2.00
3,M. Thybulle,65,19,113,1.74
4,A. Caruso,71,57,120,1.69
5,K. Leonard,68,68,111,1.63
6,P. George,74,74,113,1.53
7,D. Murray,78,78,111,1.42
8,L. Doncic,70,70,99,1.41
9,J. Suggs,75,75,106,1.41
10,D. Daniels,61,16,85,1.39
11,H. Jones,76,76,105,1.38
12,F. VanVleet,73,73,101,1.38
13,N. Jokic,79,79,108,1.37
14,J. Butler,60,60,79,1.32
15,D. DiVincenzo,81,63,107,1.32
16,K. Caldwell-Pope,76,76,98,1.29
17,A. Edwards,79,78,101,1.28
18,K. Irving,58,58,74,1.28
19,A. Thompson,62,23,78,1.26
20,S. Barnes,60,60,75,1.25
21,L. James,71,71,89,1.25
22,V. Wembanyama,71,71,88,1.24
23,B. Bogdanovic,79,33,96,1.22
24,J. Jackson Jr.,66,66,80,1.21
25,C. Paul,58,18,70,1.21
26,A. Sengun,63,63,76,1.21
27,A. Davis,76,76,91,1.20
28,T. Haliburton,69,68,83,1.20
29,G. Antetokounmpo,73,73,87,1.19
30,J. Brown,70,70,83,1.19
31,M. Conley,76,76,88,1.16
32,I. Hartenstein,75,49,87,1.16
33,B. Adebayo,71,71,81,1.14
34,D. DeRozan,79,79,90,1.14
35,K. Oubre Jr.,68,52,77,1.13
36,J. Williams,71,71,80,1.13
37,C. LeVert,68,10,76,1.12
38,J. Poole,78,66,86,1.10
39,Z. Williamson,70,70,77,1.10
40,R. Westbrook,68,11,74,1.09
41,T. Jones,66,66,71,1.08
42,A. Thompson,63,38,68,1.08
43,G. Trent Jr.,71,41,77,1.08
44,J. Harden,72,72,77,1.07
45,J. Nurkic,76,76,81,1.07
46,D. Vassell,68,62,73,1.07
47,F. Wagner,72,72,76,1.06
48,K. Dunn,66,32,68,1.03
49,J. Jaquez Jr.,75,20,77,1.03
50,K. Murray,77,77,79,1.03
