ID,PlayerName,GamesPlayed,GamesStarted,TotalSteals,StealsPerGame
1,D. Fox,74,74,150,2.03
1,S. Gilgeous-Alexander,75,75,150,2.00
1,M. Thybulle,65,19,113,1.74
1,A. Caruso,71,57,120,1.69
1,K. Leonard,68,68,111,1.63
1,P. George,74,74,113,1.53
1,D. Murray,78,78,111,1.42
1,L. Doncic,70,70,99,1.41
1,J. Suggs,75,75,106,1.41
1,D. Daniels,61,16,85,1.39
1,H. Jones,76,76,105,1.38
1,F. VanVleet,73,73,101,1.38
1,N. Jokic,79,79,108,1.37
1,J. Butler,60,60,79,1.32
1,D. DiVincenzo,81,63,107,1.32
1,K. Caldwell-Pope,76,76,98,1.29
1,A. Edwards,79,78,101,1.28
1,K. Irving,58,58,74,1.28
1,A. Thompson,62,23,78,1.26
1,S. Barnes,60,60,75,1.25
1,L. James,71,71,89,1.25
1,V. Wembanyama,71,71,88,1.24
1,B. Bogdanovic,79,33,96,1.22
1,J. Jackson Jr.,66,66,80,1.21
1,C. Paul,58,18,70,1.21
1,A. Sengun,63,63,76,1.21
1,A. Davis,76,76,91,1.20
1,T. Haliburton,69,68,83,1.20
1,G. Antetokounmpo,73,73,87,1.19
1,J. Brown,70,70,83,1.19
1,M. Conley,76,76,88,1.16
1,I. Hartenstein,75,49,87,1.16
1,B. Adebayo,71,71,81,1.14
1,D. DeRozan,79,79,90,1.14
1,K. Oubre Jr.,68,52,77,1.13
1,J. Williams,71,71,80,1.13
1,C. LeVert,68,10,76,1.12
1,J. Poole,78,66,86,1.10
1,Z. Williamson,70,70,77,1.10
1,R. Westbrook,68,11,74,1.09
1,T. Jones,66,66,71,1.08
1,A. Thompson,63,38,68,1.08
1,G. Trent Jr.,71,41,77,1.08
1,J. Harden,72,72,77,1.07
1,J. Nurkic,76,76,81,1.07
1,D. Vassell,68,62,73,1.07
1,F. Wagner,72,72,76,1.06
1,K. Dunn,66,32,68,1.03
1,J. Jaquez Jr.,75,20,77,1.03
1,K. Murray,77,77,79,1.03
