ID,PlayerName,GamesPlayed,RushingAttempts,RushingYards,RushingYardsPerGame,AverageYardsPerRush,RushingTouchdowns,LongestRush
1,C. McCaffrey,16,272,1459,91.2,5.4,14,72
2,D. Henry,17,280,1167,68.6,4.2,12,69
3,K. Williams,12,228,1144,95.3,5.0,12,56
4,J. Cook,17,237,1122,66.0,4.7,2,42
5,D. Swift,16,229,1049,65.6,4.6,5,43
6,J. Conner,13,208,1040,80.0,5.0,7,44
7,N. Harris,17,255,1035,60.9,4.1,8,25
8,J. Mixon,17,257,1034,60.8,4.0,9,44
9,D. Montgomery,14,219,1015,72.5,4.6,13,75
10,R. Mostert,15,209,1012,67.5,4.8,18,49
11,T. Etienne,17,267,1008,59.3,3.8,11,62
12,T. Pollard,17,252,1005,59.1,4.0,6,31
13,B. Hall,17,223,994,58.5,4.5,5,83
14,R. White,17,272,990,58.2,3.6,6,38
15,B. Robinson,17,214,976,57.4,4.6,4,38
16,S. Barkley,14,247,962,68.7,3.9,6,36
17,J. Gibbs,15,182,945,63.0,5.2,10,36
18,I. Pacheco,14,205,935,66.8,4.6,7,48
19,K. Walker III,15,219,905,60.3,4.1,8,45
20,C. Hubbard,17,238,902,53.1,3.8,5,22
21,D. Singletary,17,216,898,52.8,4.2,4,24
22,L. Jackson,16,148,821,51.3,5.6,5,30
23,J. Ford,17,204,813,47.8,4.0,4,69
24,G. Edwards,17,198,810,47.6,4.1,13,42
25,J. Jacobs,13,233,805,61.9,3.5,6,63
26,D. Achane,11,103,800,72.7,7.8,8,76
27,Z. Moss,14,183,794,56.7,4.3,5,56
28,J. Warren,17,149,784,46.1,5.3,4,74
29,J. Williams,16,217,774,48.4,3.6,3,21
30,J. Taylor,10,169,741,74.1,4.4,7,49
31,B. Robinson Jr.,15,178,733,48.9,4.1,5,29
32,A. Mattison,16,180,700,43.8,3.9,0,21
33,A. Kamara,13,180,694,53.4,3.9,5,17
34,T. Allgeier,17,186,683,40.2,3.7,4,31
35,J. Fields,13,124,657,50.5,5.3,4,39
36,A. Jones,11,142,656,59.6,4.6,2,39
37,E. Elliott,17,184,642,37.8,3.5,3,17
38,A. Ekeler,14,179,628,44.9,3.5,5,55
39,R. Stevenson,12,156,619,51.6,4.0,4,64
40,A. Dillon,15,178,613,40.9,3.4,2,40
41,K. Herbert,12,132,611,50.9,4.6,2,38
42,J. Hurts,17,157,605,35.6,3.9,15,24
43,J. Allen,17,111,524,30.8,4.7,15,23
44,Z. Charbonnet,16,108,462,28.9,4.3,1,23
45,T. Chandler,17,102,461,27.1,4.5,3,31
46,T. Spears,17,100,453,26.6,4.5,2,23
47,Z. White,17,104,451,26.5,4.3,1,43
48,M. Sanders,16,129,432,27.0,3.4,1,48
49,D. Foreman,9,109,425,47.2,3.9,4,22
50,J. Dobbs,13,77,421,32.4,5.5,6,44
