ID,PlayerName,GamesPlayed,RushingTouchdowns,ReceivingTouchdowns,PuntReturnTouchdowns,KickOffReturnedForTouchdowns,InterceptionsReturnedForTouchdowns,FumbleRecoveriesReturnedForTouchdowns,FieldGoals,ExtraPoints,Safeties,TwoPointConversions,TotalPoints,PointsPerGame
1,B. Aubrey,17,—,—,—,—,—,—,36,49,—,—,157,—
2,J. Tucker,17,—,—,—,—,—,—,32,51,—,—,147,—
3,J. Myers,17,—,—,—,—,—,—,35,33,—,—,138,—
4,H. Butker,17,—,—,—,—,—,—,33,38,—,—,137,—
5,C. Santos,17,—,—,—,—,—,—,35,31,—,—,136,—
6,J. Elliott,17,—,—,—,—,—,—,30,45,—,—,135,—
7,M. Gay,17,—,—,—,—,—,—,33,35,—,—,134,—
8,B. Grupe,17,—,—,—,—,—,—,30,40,—,—,130,—
9,J. Sanders,17,—,—,—,—,—,—,24,58,—,—,130,—
10,C. Dicker,17,—,—,—,—,—,—,31,35,—,—,128,—
11,C. McCaffrey,16,14,7,—,—,—,—,—,—,—,—,126,—
12,R. Mostert,15,18,3,—,—,—,—,—,—,—,—,126,—
13,B. McManus,17,—,—,—,—,—,—,30,35,—,—,125,—
14,D. Hopkins,15,—,—,—,—,—,—,33,24,—,—,123,—
15,Y. Koo,17,—,—,—,—,—,—,32,27,—,—,123,—
16,J. Moody,17,—,—,—,—,—,—,21,60,—,—,123,—
17,T. Bass,17,—,—,—,—,—,—,24,49,—,—,121,—
18,C. McLaughlin,17,—,—,—,—,—,—,29,33,—,—,120,—
19,G. Zuerlein,16,—,—,—,—,—,—,35,15,—,—,120,—
20,W. Lutz,17,—,—,—,—,—,—,30,29,—,—,119,—
21,E. McPherson,17,—,—,—,—,—,—,26,40,—,—,118,—
22,A. Carlson,17,—,—,—,—,—,—,27,34,—,—,115,—
23,N. Folk,17,—,—,—,—,—,—,29,28,—,—,115,—
24,C. Boswell,17,—,—,—,—,—,—,29,27,—,—,114,—
25,D. Carlson,17,—,—,—,—,—,—,26,32,—,—,110,—
26,G. Joseph,17,—,—,—,—,—,—,24,36,—,—,108,—
27,M. Prater,17,—,—,—,—,—,—,28,22,—,—,106,—
28,K. Fairbairn,12,—,—,—,—,—,—,27,21,—,—,102,—
29,E. Pineiro,15,—,—,—,—,—,—,25,17,—,—,92,—
30,K. Williams,12,12,3,0,0,—,—,—,—,—,—,92,—
31,J. Allen,17,15,—,—,—,—,—,—,—,—,—,90,—
32,J. Hurts,17,15,—,—,—,—,—,—,—,—,—,90,—
33,R. Patterson,15,—,—,—,—,—,—,16,41,—,—,89,—
34,J. Slye,17,—,—,—,—,—,—,19,32,—,—,89,—
35,C. Lamb,17,2,12,—,—,—,—,—,—,—,—,86,—
36,G. Edwards,17,13,0,—,—,—,—,—,—,—,—,80,—
37,D. Montgomery,14,13,0,—,—,—,—,—,—,—,—,80,—
38,M. Evans,17,—,13,—,—,—,—,—,—,—,—,78,—
39,T. Hill,16,0,13,—,—,—,—,—,—,—,—,78,—
40,T. Etienne,17,11,1,—,—,—,—,—,—,—,—,76,—
41,J. Mixon,17,9,3,—,—,—,—,—,—,—,—,74,—
42,D. Henry,17,12,0,—,—,—,—,—,—,—,—,72,—
43,C. Ryland,17,—,—,—,—,—,—,16,24,—,—,72,—
44,D. Samuel,15,5,7,—,0,—,—,—,—,—,—,72,—
45,D. Achane,11,8,3,—,—,—,—,—,—,—,—,66,—
46,J. Gibbs,15,10,1,—,—,—,—,—,—,—,—,66,—
47,L. Havrisik,9,—,—,—,—,—,—,15,19,—,—,64,—
48,S. LaPorta,17,0,10,—,—,—,—,—,—,—,—,64,—
49,B. Maher,8,—,—,—,—,—,—,17,13,—,—,64,—
50,J. Reed,16,2,8,0,—,—,—,—,—,—,—,62,—
