PlayerName,GamesPlayed,GamesStarted,GoalsAgainstAverage,SavesPercentage,GoalsAgainst,ShotsAgainst,Wins,Losses,OvertimeLoss,Shutout,ShootoutGoalsMadeAndAttempted
A. Stolarz,27,24,2.03,.925,51,684,16,7,2,2,3-9
P. Kochetkov,42,40,2.33,.911,92,1031,23,13,4,4,3-13
S. Bobrovsky,58,58,2.37,.915,135,1584,36,17,4,6,3-9
C. Hellebuyck,60,60,2.39,.921,142,1798,37,19,4,5,0-0
T. Demko,51,51,2.45,.918,123,1492,35,14,2,5,0-0
J. Daccord,50,46,2.46,.916,116,1374,19,18,11,3,6-15
C. Talbot,54,52,2.50,.913,130,1490,27,20,6,3,7-15
J. Swayman,44,43,2.53,.916,108,1287,25,10,8,3,4-19
U. Luukkonen,54,51,2.57,.910,132,1470,27,22,4,5,1-7
I. Shesterkin,55,55,2.58,.912,141,1606,36,17,2,4,3-11
L. Ullmark,40,39,2.58,.915,103,1207,22,10,7,2,3-8
S. Varlamov,28,27,2.60,.918,69,837,14,8,4,3,3-8
J. Quick,27,26,2.62,.911,69,771,18,6,2,2,3-9
S. Skinner,59,57,2.62,.905,147,1553,36,16,5,2,4-9
J. Hofer,30,27,2.65,.913,72,830,15,12,1,1,0-0
C. Lindgren,50,48,2.67,.911,127,1431,25,16,7,6,8-19
L. Thompson,46,42,2.70,.908,119,1298,25,14,5,1,3-8
A. Hill,35,35,2.71,.909,89,979,19,12,2,2,2-7
J. Oettinger,54,53,2.72,.905,140,1476,35,14,4,3,6-25
J. Markstrom,48,48,2.78,.905,131,1379,23,23,2,2,3-7
C. Hart,26,25,2.80,.906,68,727,12,9,3,1,2-3
S. Ersson,51,49,2.82,.890,132,1204,23,19,7,4,4-19
J. Binnington,57,55,2.84,.913,156,1786,28,21,5,3,6-25
P. Grubauer,36,34,2.85,.899,95,941,14,16,2,2,4-17
S. Wedgewood,32,28,2.85,.899,85,844,16,7,5,0,0-3
J. Saros,64,64,2.86,.906,173,1845,35,24,5,3,1-5
C. DeSmith,29,27,2.89,.895,80,759,12,9,6,1,2-7
A. Vasilevskiy,52,52,2.90,.900,148,1477,30,20,2,2,2-13
C. Ingram,50,48,2.91,.907,136,1461,23,21,3,6,0-3
T. Jarry,51,48,2.91,.903,133,1369,19,25,5,6,1-3
A. Nedeljkovic,38,33,2.97,.902,102,1039,18,7,7,1,7-23
M. Fleury,40,36,2.98,.895,111,1056,17,15,5,2,4-14
I. Sorokin,56,55,3.01,.908,167,1822,25,19,12,2,7-16
A. Georgiev,63,62,3.02,.897,183,1770,38,18,5,2,2-9
P. Mrazek,56,53,3.04,.907,160,1724,18,31,4,1,1-9
A. Lyon,44,43,3.05,.904,127,1325,21,18,5,2,1-5
F. Gustavsson,45,43,3.06,.899,129,1283,20,17,5,3,2-10
I. Samsonov,40,40,3.13,.890,120,1087,23,7,8,3,4-12
S. Montembeault,41,40,3.14,.903,127,1307,16,15,9,0,8-22
V. Vanecek,32,29,3.18,.890,95,862,17,9,3,0,0-0
A. Forsberg,30,28,3.21,.890,84,765,15,12,0,2,1-12
J. Korpisalo,55,49,3.27,.890,168,1522,21,26,4,0,0-3
D. Kuemper,33,30,3.31,.890,103,940,13,14,3,1,0-13
L. Dostal,44,38,3.33,.902,129,1310,14,23,3,1,1-2
K. Vejmelka,38,33,3.35,.895,114,1089,13,19,2,1,0-2
J. Johansson,26,24,3.37,.890,83,752,12,7,5,2,0-0
J. Allen,34,33,3.44,.895,114,1087,12,18,4,0,2-8
M. Blackwood,44,41,3.45,.899,140,1383,10,25,4,2,5-17
E. Merzlikins,41,40,3.45,.897,130,1266,13,17,8,1,4-15
J. Gibson,46,44,3.54,.888,151,1343,13,27,2,0,2-6
