ID,PlayerName,GamesPlayed,GamesStarted,MinutesPerGame,TotalPersonalFouls,PersonalFoulsPerGame,FlagrantFouls,TechnicalFouls,Ejections,Disqualifications
1,D. DeRozan,79,79,37.8,161,2,3,6,2,0
1,L. Doncic,70,70,37.5,149,2.1,0,16,0,0
1,T. Maxey,70,70,37.5,151,2.2,0,2,0,1
1,M. Bridges,69,67,37.4,118,1.7,0,3,0,0
1,K. Durant,75,75,37.2,133,1.8,2,6,0,0
1,F. VanVleet,73,73,36.8,183,2.5,0,8,0,1
1,C. White,79,78,36.5,186,2.4,0,3,0,1
1,D. Booker,68,68,36.0,206,3,1,10,1,0
1,T. Young,54,54,36.0,109,2,0,13,1,0
1,D. Fox,74,74,35.9,193,2.6,0,10,0,1
1,D. Murray,78,78,35.7,138,1.8,2,4,0,0
1,D. Sabonis,82,82,35.7,250,3,1,1,0,6
1,J. Tatum,74,74,35.7,145,2,1,10,2,0
1,A. Davis,76,76,35.5,177,2.3,0,3,0,1
1,J. Brunson,77,77,35.4,144,1.9,0,2,0,0
1,J. Randle,46,46,35.4,125,2.7,0,2,0,0
1,L. James,71,71,35.3,78,1.1,1,4,0,0
1,D. Lillard,73,73,35.3,134,1.8,0,3,0,2
1,D. Mitchell,55,55,35.3,118,2.1,0,4,1,0
1,J. Morant,9,9,35.3,19,2.1,0,0,0,0
1,G. Antetokounmpo,73,73,35.2,210,2.9,0,5,1,0
1,A. Edwards,79,78,35.1,141,1.8,0,15,0,1
1,P. Banchero,80,80,35.0,153,1.9,1,5,0,0
1,K. Irving,58,58,35.0,112,1.9,0,0,0,0
1,S. Barnes,60,60,34.9,118,2,0,1,0,1
1,Z. LaVine,25,23,34.9,57,2.3,0,2,0,0
1,M. Bridges,82,82,34.8,116,1.4,0,5,0,0
1,N. Jokic,79,79,34.6,194,2.5,1,8,2,1
1,D. Bane,42,42,34.4,120,2.9,1,4,0,0
1,A. Simons,46,46,34.4,98,2.1,0,3,0,0
1,J. Harden,72,72,34.3,127,1.8,0,2,0,0
1,K. Leonard,68,68,34.3,97,1.4,0,1,0,0
1,N. Vucevic,76,74,34.3,190,2.5,1,4,1,1
1,R. Gobert,76,76,34.1,238,3.1,2,4,0,2
1,B. Adebayo,71,71,34.0,159,2.2,0,3,0,0
1,O. Anunoby,50,50,34.0,119,2.4,0,2,0,1
1,J. Butler,60,60,34.0,68,1.1,0,2,1,0
1,S. Gilgeous-Alexander,75,75,34.0,184,2.5,0,0,0,0
1,J. Grant,54,54,33.9,117,2.2,0,0,0,0
1,P. George,74,74,33.8,202,2.7,0,2,0,4
1,T. Harris,70,70,33.8,115,1.6,0,2,0,0
1,J. Johnson,56,52,33.7,133,2.4,0,1,0,2
1,J. Embiid,39,39,33.6,112,2.9,1,5,0,1
1,K. Murray,77,77,33.6,205,2.7,0,0,0,1
1,G. Allen,75,74,33.5,157,2.1,1,0,0,1
1,J. Brown,70,70,33.5,185,2.6,2,8,1,1
1,C. Cunningham,62,62,33.5,153,2.5,0,3,0,1
1,T. Herro,42,40,33.5,63,1.5,0,2,0,0
1,J. Hart,81,42,33.4,171,2.1,2,7,2,0
1,T. Rozier,61,60,33.4,101,1.7,0,0,0,0
