Name,FGM,FGP,LFG,YRDG,EXPM,EXP,KP
B. Aubrey,17,38,94.7,60,0-0,9-9,13-15
J. Tucker,17,37,86.5,50,0-0,10-10,10-10
J. Myers,17,42,83.3,55,0-0,8-8,11-12
H. Butker,17,35,94.3,60,0-0,8-8,13-15
C. Santos,17,38,92.1,55,0-0,9-9,11-11
J. Elliott,17,32,93.8,61,0-0,9-9,7-8
M. Gay,17,41,80.5,57,0-0,9-9,9-10
B. Grupe,17,37,81.1,55,0-0,10-12,6-6
J. Sanders,17,28,85.7,57,0-0,6-6,7-7
C. Dicker,17,33,93.9,55,0-0,7-7,8-8
B. McManus,17,37,81.1,56,0-0,4-4,10-10
D. Hopkins,15,36,91.7,58,0-0,8-8,7-7
Y. Koo,17,37,86.5,54,0-0,10-10,10-10
J. Moody,17,25,84.0,57,0-0,7-7,8-9
T. Bass,17,29,82.8,54,0-0,4-4,12-13
C. McLaughlin,17,31,93.5,57,0-0,8-8,12-12
G. Zuerlein,16,38,92.1,55,0-0,8-8,9-10
W. Lutz,17,34,88.2,52,0-0,11-11,12-13
E. McPherson,17,31,83.9,56,0-0,5-5,6-6
A. Carlson,17,33,81.8,53,0-0,6-6,14-14
N. Folk,17,30,96.7,53,0-0,9-9,9-9
C. Boswell,17,31,93.5,57,0-0,9-9,7-7
D. Carlson,17,30,86.7,54,0-0,10-10,6-7
G. Joseph,17,30,80.0,54,1-1,7-7,9-9
M. Prater,17,33,84.8,62,0-0,6-6,7-8
K. Fairbairn,12,28,96.4,54,0-0,10-10,10-10
E. Pineiro,15,29,86.2,56,0-0,6-6,7-7
R. Patterson,15,18,88.9,52,0-0,2-3,11-11
J. Slye,17,24,79.2,61,0-0,2-3,7-7
C. Ryland,17,25,64.0,56,0-0,4-4,5-7
L. Havrisik,9,20,75.0,52,0-0,8-8,3-3
B. Maher,8,23,73.9,54,0-0,3-3,4-4
G. Gano,8,17,64.7,57,0-0,2-2,3-5
M. Ammendola,5,9,66.7,45,0-0,2-2,3-3
M. Badgley,4,4,100.0,41,0-0,0-0,3-3
R. Bullock,6,6,83.3,56,0-0,0-0,2-2
M. Crosby,3,7,71.4,52,0-0,2-2,2-2
A. Seibert,1,1,100.0,34,0-0,0-0,1-1
