Name,GP,PUNTS,YDS,LNG,AVG,NET,IN20,TB,FC,RET,RETY,AVG,BLK
R. Stonehouse,12,53,2812,74,53.1,43.9,28,10,7,22,243,—,1
B. Anger,17,44,2262,63,51.4,44.9,17,2,13,24,247,—,0
B. Gillikin,13,51,2580,77,50.6,43.6,11,2,9,29,318,—,0
A. Cole,17,75,3783,83,50.4,45.1,34,6,20,31,283,—,0
J. Camarda,17,77,3854,74,50.1,41.8,26,9,10,38,455,—,0
M. Dickson,17,66,3303,73,50.0,44.1,25,8,12,34,232,—,0
B. Mann,15,44,2190,63,49.8,43.9,15,1,5,27,237,—,0
C. Bojorquez,16,87,4294,73,49.4,42.5,31,9,16,43,420,—,0
E. Evans,17,63,3101,72,49.2,38.5,20,7,12,32,495,—,1
T. Morstead,17,99,4831,62,48.8,41.8,36,8,28,48,535,—,0
R. Wright,17,59,2873,68,48.7,41.9,16,7,16,27,260,—,0
R. Sanchez,17,68,3281,69,48.3,42.3,21,0,13,38,360,—,1
J. Stout,17,66,3158,67,47.8,39.2,28,5,17,32,433,—,1
C. Johnston,13,66,3145,74,47.7,44.0,30,3,25,26,183,—,0
M. Wishnowsky,17,52,2480,67,47.7,42.7,26,2,13,22,220,—,0
L. Cooke,17,61,2893,65,47.4,43.8,29,4,22,22,143,—,0
T. Townsend,17,59,2776,68,47.1,41.8,20,5,20,20,207,—,0
B. Pinion,17,75,3523,66,47.0,41.5,27,3,24,31,353,—,0
B. Baringer,17,98,4598,79,46.9,40.8,38,8,24,44,439,—,0
J. Hekker,17,82,3838,69,46.8,43.0,25,5,26,31,210,—,0
J. Fox,17,57,2646,70,46.4,41.7,26,5,20,21,168,—,0
R. Dixon,17,79,3659,68,46.3,42.3,27,6,27,31,195,—,0
J. Scott,17,75,3475,83,46.3,42.3,30,4,31,28,221,—,0
D. Whelan,17,57,2634,68,46.2,39.7,18,5,22,23,270,—,0
T. Gill,17,67,3088,76,46.1,38.0,18,8,13,30,381,—,0
,17,95,4372,74,46.0,42.3,35,4,36,39,270,—,0
T. Way,17,73,3361,66,46.0,40.7,30,2,25,34,271,—,2
S. Martin,17,51,2334,70,45.8,39.9,24,3,17,19,237,—,0
J. Bailey,17,53,2424,66,45.7,40.7,20,3,19,17,207,—,0
B. Robbins,17,76,3369,62,44.3,40.3,20,5,26,29,203,—,0
P. Harvin III,15,78,3419,63,43.8,39.2,30,6,26,25,242,—,0
L. Hedley,17,75,3224,62,43.0,39.7,31,4,24,29,163,—,0
