ID,PlayerName,GamesPlayed,RushingTouchdowns,ReceivingTouchdowns,PuntReturnTouchdowns,KickOffReturnedForTouchdowns,InterceptionsReturnedForTouchdowns,FumbleRecoveriesReturnedForTouchdowns,FieldGoals,ExtraPoints,Safeties,TwoPointConversions,TotalPoints,PointsPerGame
1,B. Aubrey,17,—,—,—,—,—,—,36,49,—,—,157,—
1,J. Tucker,17,—,—,—,—,—,—,32,51,—,—,147,—
1,J. Myers,17,—,—,—,—,—,—,35,33,—,—,138,—
1,H. Butker,17,—,—,—,—,—,—,33,38,—,—,137,—
1,C. Santos,17,—,—,—,—,—,—,35,31,—,—,136,—
1,J. Elliott,17,—,—,—,—,—,—,30,45,—,—,135,—
1,M. Gay,17,—,—,—,—,—,—,33,35,—,—,134,—
1,B. Grupe,17,—,—,—,—,—,—,30,40,—,—,130,—
1,J. Sanders,17,—,—,—,—,—,—,24,58,—,—,130,—
1,C. Dicker,17,—,—,—,—,—,—,31,35,—,—,128,—
1,C. McCaffrey,16,14,7,—,—,—,—,—,—,—,—,126,—
1,R. Mostert,15,18,3,—,—,—,—,—,—,—,—,126,—
1,B. McManus,17,—,—,—,—,—,—,30,35,—,—,125,—
1,D. Hopkins,15,—,—,—,—,—,—,33,24,—,—,123,—
1,Y. Koo,17,—,—,—,—,—,—,32,27,—,—,123,—
1,J. Moody,17,—,—,—,—,—,—,21,60,—,—,123,—
1,T. Bass,17,—,—,—,—,—,—,24,49,—,—,121,—
1,C. McLaughlin,17,—,—,—,—,—,—,29,33,—,—,120,—
1,G. Zuerlein,16,—,—,—,—,—,—,35,15,—,—,120,—
1,W. Lutz,17,—,—,—,—,—,—,30,29,—,—,119,—
1,E. McPherson,17,—,—,—,—,—,—,26,40,—,—,118,—
1,A. Carlson,17,—,—,—,—,—,—,27,34,—,—,115,—
1,N. Folk,17,—,—,—,—,—,—,29,28,—,—,115,—
1,C. Boswell,17,—,—,—,—,—,—,29,27,—,—,114,—
1,D. Carlson,17,—,—,—,—,—,—,26,32,—,—,110,—
1,G. Joseph,17,—,—,—,—,—,—,24,36,—,—,108,—
1,M. Prater,17,—,—,—,—,—,—,28,22,—,—,106,—
1,K. Fairbairn,12,—,—,—,—,—,—,27,21,—,—,102,—
1,E. Pineiro,15,—,—,—,—,—,—,25,17,—,—,92,—
1,K. Williams,12,12,3,0,0,—,—,—,—,—,—,92,—
1,J. Allen,17,15,—,—,—,—,—,—,—,—,—,90,—
1,J. Hurts,17,15,—,—,—,—,—,—,—,—,—,90,—
1,R. Patterson,15,—,—,—,—,—,—,16,41,—,—,89,—
1,J. Slye,17,—,—,—,—,—,—,19,32,—,—,89,—
1,C. Lamb,17,2,12,—,—,—,—,—,—,—,—,86,—
1,G. Edwards,17,13,0,—,—,—,—,—,—,—,—,80,—
1,D. Montgomery,14,13,0,—,—,—,—,—,—,—,—,80,—
1,M. Evans,17,—,13,—,—,—,—,—,—,—,—,78,—
1,T. Hill,16,0,13,—,—,—,—,—,—,—,—,78,—
1,T. Etienne,17,11,1,—,—,—,—,—,—,—,—,76,—
1,J. Mixon,17,9,3,—,—,—,—,—,—,—,—,74,—
1,D. Henry,17,12,0,—,—,—,—,—,—,—,—,72,—
1,C. Ryland,17,—,—,—,—,—,—,16,24,—,—,72,—
1,D. Samuel,15,5,7,—,0,—,—,—,—,—,—,72,—
1,D. Achane,11,8,3,—,—,—,—,—,—,—,—,66,—
1,J. Gibbs,15,10,1,—,—,—,—,—,—,—,—,66,—
1,L. Havrisik,9,—,—,—,—,—,—,15,19,—,—,64,—
1,S. LaPorta,17,0,10,—,—,—,—,—,—,—,—,64,—
1,B. Maher,8,—,—,—,—,—,—,17,13,—,—,64,—
1,J. Reed,16,2,8,0,—,—,—,—,—,—,—,62,—
