ID,PlayerName,GamesPlayed,PenaltyMinutes,MajorPenalties,MinorPenalties
1,L. O'Brien,75,153,11,19
1,B. Tkachuk,81,134,6,27
1,T. Wilson,74,133,5,39
1,G. Hathaway,82,132,4,26
1,R. Gudas,66,128,4,39
1,N. Zadorov,75,125,7,30
1,M. Domi,80,118,6,24
1,R. Johnston,68,117,9,16
1,M. Pospisil,63,107,3,31
1,M. Eyssimont,81,104,6,22
1,J. Gadjovich,39,104,10,12
1,S. Carrick,77,102,10,16
1,S. Bennett,69,100,2,30
1,M. McCarron,70,100,8,15
1,J. Lauzon,79,98,8,29
1,A. Watson,33,93,7,9
1,B. Dillon,77,92,8,21
1,N. Deslauriers,60,89,11,12
1,C. Clifton,79,88,6,19
1,M. Dumba,76,88,2,29
1,M. Tkachuk,80,88,2,29
1,J. Manson,76,87,5,26
1,C. McAvoy,74,86,2,28
1,M. McTavish,64,86,0,38
1,R. Strome,79,86,4,28
1,E. Kane,77,85,3,25
1,F. Vatrano,82,85,1,40
1,L. Kunin,77,83,9,19
1,K. Bahl,82,82,2,31
1,A. Englund,82,81,11,13
1,A. Xhekaj,44,81,5,23
1,J. Zucker,69,81,3,18
1,R. Lomberg,75,80,2,20
1,B. Hagel,82,79,1,27
1,D. Nurse,81,79,1,27
1,V. Dunn,59,78,2,19
1,B. Goodrow,80,78,4,19
1,B. Marchand,82,78,2,34
1,N. Seeler,71,78,4,14
1,J. Middleton,80,77,7,21
1,T. Myers,77,77,1,31
1,B. Coleman,78,76,2,28
1,L. Draisaitl,81,76,0,28
1,O. Ekman-Larsson,80,76,0,28
1,V. Hedman,78,76,0,23
1,J. Brown,51,75,5,15
1,T. Jeannot,55,75,7,15
1,M. Wood,74,75,1,25
1,J. Anderson,78,74,4,22
1,E. Gudbranson,78,74,4,17
