Name,GP,PA,PC
T. Tagovailoa,17,560,388
J. Goff,17,605,407
D. Prescott,17,590,410
J. Allen,17,579,385
B. Purdy,16,444,308
P. Mahomes,16,597,401
J. Love,17,579,372
C. Stroud,15,499,319
B. Mayfield,17,566,364
T. Lawrence,16,564,370
M. Stafford,15,521,326
S. Howell,17,612,388
D. Carr,17,548,375
J. Hurts,17,538,352
L. Jackson,16,457,307
G. Smith,15,499,323
G. Minshew,17,490,305
J. Herbert,13,456,297
R. Wilson,15,447,297
B. Young,16,527,315
D. Ridder,15,388,249
J. Fields,13,370,227
J. Dobbs,13,417,262
K. Cousins,8,311,216
J. Burrow,10,365,244
Z. Wilson,12,368,221
A. O'Connell,11,343,213
M. Jones,11,345,224
K. Pickett,12,324,201
J. Browning,9,243,171
W. Levis,9,255,149
K. Murray,8,268,176
J. Flacco,5,204,123
R. Tannehill,10,230,149
T. Taylor,11,180,116
N. Mullens,5,148,100
B. Zappe,10,212,127
J. Garoppolo,7,169,110
E. Stick,5,174,111
D. Watson,6,171,105
T. DeVito,9,178,114
D. Jones,6,160,108
T. Heinicke,5,136,74
T. Bagent,5,143,94
T. Siemian,5,153,86
M. Rudolph,4,74,55
P. Walker,6,111,54
M. Trubisky,5,107,67
A. Richardson,4,84,50
D. Lock,4,76,48
